id,question,answer,comment,answer_image,question_image
0,のうさくぶつ,農作物,,,nousakubutsu.png
1,やおやにいきます,八百屋に行きます,Think of a better image,,yaoya.jpg
3,さんぽをしてきます。,散歩をして来ます,散x,,
4,ずがこうさくのきょうしつ,図画工作の教室,教x,,
5,[??たく??]がじめんにおちるのがしん(ぱい)なの,せんたくもの（洗たく物）が地面に落ちるのが心配なの,,,sentakumono.jpg
6,しんせつなせんちょうさん,親切な船長さん,,,senchou.png
7,たわしの絵をかいて,,,tawashi.jpg,
8,せんちょうさん,船長さん,,,senchou.png
9,ラジオたい(そう)だい２,ラジオ体(操)第２,,,radio_taisou.png
10,つぎはしゅうてんのえきだ,次は終点の駅だ。,終点x,,eki.jpg
11,このじてんしゃはかるいけどたかいんだ,この自転車は軽いけど高いんだ,軽いx,,jitensha.png
12,パリの絵を書いて,,,paris.jpg,
13,いそいでくるまにのって,急いで車に乗って,,,kuruma_ni_noru.jpg
14,きょうしつがさむいね,教室が寒いね,,,samui_kyoushitsu.png
15,このごろかくしゅくだいがすくないね,このごろ書く宿題が少ないね,,,
16,いのちよりだいじなものはないよ,命より大事なものはないよ。,,,
17,レジの絵を書いて,,,reji.png,
18,あさおきるのがだんだんおそくなってきた,朝起きるのがだんだんおそくなってきた,,,asa_okiru.png
19,こうつうあんぜん,交通安全,,,
20,だいくさんが(へい)をなおしてくれた,大工さんがへいを直してくれた。,,,daiku.jpg
21,ゆうえんちにいくまえにべんきょうをおわらせてね。,遊園地に行く前に勉強を終わらせよう。,,,
22,けわしいさか,けわしい坂,,,kewashii_saka.png
23,どうわの絵を書いて,童話<漢字しってる？パパに教えて,They did learn it last year,douwa.png,
24,くまもとけんのおちゃ,熊本県のお茶,,,ocha.jpg
25,どうわ,童話,,,douwa.png
26,ネズミをおいかけるねこ,ネズミを追いかけるねこ,,,neko_nezumi_oikakeru.png
27,アリのぎょうれつ,ありの行列,,,ari_gyouretsu.png
28,きのうはあつかったね,昨日は暑かったね,,,atsui.png
29,動物がいっぱい一緒（いっしょ）にいることは「むれ」といいます。月曜日にみたからすのむれの絵を書いて,,,karasu_mure.jpg,
30,いしをなげないで,石を投げないで,,,
31,「きりつ」の絵を書いて,,,kiritsu.png,
32,きりつ,起立,,,
33,きゅうようでかいしゃをやすんだ,急用で会社を休んだ,,,
35,いえのでんわばんごうをあんきする,家の電話番号を暗記する,,,
36,いえがまっくらだ,家が真っ暗 だ。,,,teiden.png
37,ほこうしゃ,歩行者,,,
38,バーナビーにもほどうきょうがある。,バーナビーにも歩道橋がある。,,,hodoukyou.png
39,しょちゅうみまい,暑中みまい,,,
40,カナダガンの＿＿がとんでる,むれ,,,kanadagan.jpg
41,しんちょうがのびる,身長がのびる,,,shinchou.jpg
42,のうさくぶつ,農作物,,,nousakubutsu.png
43,こうじょうのけんがく,工場の見学,,,
44,さむいふゆ,寒い冬,,,
46,練習：「荷物」（にもつ）を書く練習して。荷物はdog/catではありません。,,new Kanji,,nimotsu.png
47,かんぷうのなかでカンフーをれんしゅうする。,寒風の中でカンフーを練習する。,,,kanpuu_kanfuu.png
48,リッチモンドのおじいちゃんは寝るとき＿＿＿をかきます。,いびき,,,
49,象さん象さんおはながながいのね。,象さん象さんお鼻が長いのね。,,,
50,かばんの絵をかいて,💼,,,
51,,,,,
52,うえき,植木,,,
53,うえきばちの絵をかいて,うえきばち＝植木鉢,,uekibachi.jpg,
54,練習：「注意」（ちゅうい）の練習をして。,,,,chuui.png
55,にもつがおもい！,荷物が重い！,,,
56,,,,,
